linhagem;sexo;dia;peso_g;ganho_diario_g;ganho_medio_diario_g;conversao_alimentar_acumulada;consumo_diario_racao_g;consumo_acumulado_racao_g
cobb_500;misto;0;42;0;0;0;0;0
cobb_500;misto;1;55;13;0;0;0;0
cobb_500;misto;2;71;16;0;0;0;0
cobb_500;misto;3;90;19;0;0;0;0
cobb_500;misto;4;112;22;0;0;0;0
cobb_500;misto;5;138;26;0;0;0;0
cobb_500;misto;6;168;30;0;0;0;0
cobb_500;misto;7;202;34;22.9;0.891;0;180
cobb_500;misto;8;240;38;24.8;0.917;40;220
cobb_500;misto;9;283;43;26.8;0.933;44;264
cobb_500;misto;10;330;47;28.8;0.952;50;314
cobb_500;misto;11;382;52;30.9;0.971;57;371
cobb_500;misto;12;440;58;33.2;0.991;64;435
cobb_500;misto;13;503;63;35.5;1.012;73;508
cobb_500;misto;14;570;67;37.7;1.029;80;588
cobb_500;misto;15;639;69;39.8;1.050;84;672
cobb_500;misto;16;711;72;41.8;1.072;91;763
cobb_500;misto;17;786;75;43.8;1.094;98;861
cobb_500;misto;18;864;78;45.7;1.116;105;966
cobb_500;misto;19;945;81;47.5;1.138;111;1077
cobb_500;misto;20;1029;84;49.4;1.160;118;1195
cobb_500;misto;21;1116;87;51.1;1.182;125;1320
cobb_500;misto;22;1205;89;52.9;1.203;131;1451
cobb_500;misto;23;1296;91;54.5;1.224;137;1588
cobb_500;misto;24;1390;94;56.2;1.245;143;1731
cobb_500;misto;25;1486;96;57.8;1.265;149;1880
cobb_500;misto;26;1583;97;59.3;1.284;154;2034
cobb_500;misto;27;1682;99;60.7;1.303;160;2194
cobb_500;misto;28;1783;101;62.2;1.322;165;2359
cobb_500;misto;29;1886;103;63.6;1.340;169;2528
cobb_500;misto;30;1989;103;64.9;1.358;174;2702
cobb_500;misto;31;2094;105;66.2;1.375;178;2880
cobb_500;misto;32;2200;106;67.4;1.392;183;3063
cobb_500;misto;33;2306;106;68.6;1.409;187;3250
cobb_500;misto;34;2413;107;69.7;1.425;191;3441
cobb_500;misto;35;2521;108;70.8;1.441;194;3635
cobb_500;misto;36;2629;108;71.9;1.457;198;3833
cobb_500;misto;37;2738;109;72.9;1.474;202;4035
cobb_500;misto;38;2846;108;73.8;1.490;206;4241
cobb_500;misto;39;2954;108;74.7;1.506;209;4450
cobb_500;misto;40;3062;108;75.5;1.522;213;4663
